"Indicatortype","Indicator","Description"
"domain","tcaukthw.com",""
"domain","tobedirectuke.com",""
"domain","tobepartou.com",""
"domain","tooblycars.com",""
"domain","toogimoogi.com",""
"domain","toukfarep.com",""
"domain","uiremukent.com",""
"domain","ukmlasttyye.xyz",""
"domain","ukrawinrusyes.com",""
"domain","ukseseem.xyz",""
"domain","utfeablea.com",""
"domain","voobmijump.com",""
"domain","withyourret.xyz",""
"domain","xoomitsleep.com",""
"domain","yalfnbagan.com",""
"domain","yalokmalos2.com",""
"domain","yeconnected.com",""
"domain","yescoolservmate.com",""
"domain","yflexibilituky.co",""
"domain","yooblygoobnku.com",""
"domain","yourretyeq.com",""
