"Indicatortype","Indicator","Description"
"FileHash-SHA256","f765b0b6e4a34eb95c6f0ddf058bc88d5ef9ec2b11a5f3504d1673f4f69aceca",""
"FileHash-SHA256","faff45f233966452f54cfbf8c4c8072d1d919484f34b119bea1027a615c87907","SHA256 of 85ca334f87667bd7fa0c47ae6149353e"
"IPv4","85.206.175.201","CC=LT ASN=AS61272 Informacines sistemos ir technologijos, UAB"
"URL","http://31.207.44.72:8080",""
"URL","http://8.0.26.0",""
"URL","https://correomindefensagobvemyspace.com/kolomenskoye/Adobe.msi",""
"URL","https://solutionconect.online/uu2/x3/JavaOracle.msi","6468ac9f9bca964f3910fc967b80781c1c8634300e36f95ae49056d91a2734bf"
"YARA","1013a68fbb3b4f05cf2b1e642071f1c3f8e9af88",""
"YARA","2d79e75d58d14de341a5ef5218821ba729942288",""
"YARA","4f4f2f449c71b90c76a5fe54b8eea285865378e0",""
"YARA","55f0494861a4064ca532817cc19b5b506ab254f6",""
"YARA","dca1f1581a0c6fe7647e710ba4ef035308523823",""
"domain","correomindefensagobvemyspace.com",""
"domain","kpt-pk.net",""
"domain","main.download",""
"domain","news-reporter.xyz",""
"domain","news-spot.live",""
"domain","news-spot.xyz",""
"domain","science-news.live",""
"domain","solutionconect.online",""
"hostname","maritimepakistan.kpt-pk.net",""
